,Aditya,Autism,Banach_Coders,Bottom_frag,Class_selection,Dairy_milk,Error11,Kirmada,Losers,Ohm,Priyanshu,Rb,Rk2,Rohan,Sattvik,Supreme_leader,co_pilot,ml_bot
Aditya,0,17,62,1,0,42,9,106,2,86,15,9,8,22,128,24,3,19
Autism,111,0,98,31,24,100,65,127,57,98,58,42,47,73,128,65,58,70
Banach_Coders,66,30,0,6,1,51,22,104,31,55,17,5,13,33,127,24,14,26
Bottom_frag,127,97,122,0,46,74,95,18,44,117,80,78,67,49,128,102,59,82
Class_selection,128,104,127,82,0,121,109,128,110,118,85,84,94,118,128,112,107,111
Dairy_milk,86,28,77,13,7,0,38,122,50,58,22,14,17,53,127,26,40,19
Error11,119,63,106,33,19,90,0,124,88,106,48,47,51,81,128,66,62,68
Kirmada,22,1,24,0,0,6,4,0,12,24,1,1,2,13,109,6,0,4
Losers,126,71,97,40,18,66,40,37,0,93,52,21,41,87,127,68,52,49
Ohm,42,30,73,11,10,70,22,104,35,0,13,7,18,34,122,20,22,27
Priyanshu,113,70,111,48,43,106,80,127,76,115,0,59,64,92,128,79,78,71
Rb,119,86,123,50,44,114,81,127,107,121,69,0,74,95,128,93,80,90
Rk2,120,81,115,61,34,111,77,126,87,110,64,54,0,90,128,79,88,72
Rohan,106,55,95,18,10,75,47,115,41,94,36,33,38,0,126,61,43,38
Sattvik,0,0,1,0,0,1,0,19,1,6,0,0,0,2,0,0,0,0
Supreme_leader,104,63,104,26,16,102,62,122,60,108,49,35,49,67,128,0,56,78
co_pilot,125,70,114,41,21,86,66,128,72,106,50,48,40,85,128,72,0,63
ml_bot,109,58,102,36,17,72,60,29,44,101,57,38,56,50,128,50,54,0
