,Aditya,Autism,Banach_Coders,Bottom_frag,Class_selection,Dairy_milk,Error11,Kirmada,Losers,Ohm,Priyanshu,Rb,Rk2,Rohan,Sattvik,Supreme_leader
Aditya,0,160,569,1,1,285,60,1011,57,660,150,53,59,189,1021,176
Autism,864,0,803,256,158,813,527,1022,494,872,385,304,389,558,1024,506
Banach_Coders,455,221,0,69,21,312,111,1008,223,498,86,40,95,272,1010,128
Bottom_frag,1023,768,955,0,386,560,776,155,431,963,665,612,600,346,1024,832
Class_selection,1023,866,1003,638,0,957,830,1024,898,977,765,674,723,900,1024,867
Dairy_milk,739,211,712,120,67,0,300,1023,432,551,185,128,159,393,1013,225
Error11,964,497,913,248,194,724,0,1024,738,843,425,349,378,618,1023,519
Kirmada,13,2,16,0,0,0,0,0,15,12,0,0,0,1,530,0
Losers,967,530,801,259,126,489,286,629,0,746,378,180,355,665,1020,517
Ohm,364,152,526,61,47,473,181,1012,278,0,96,86,123,235,995,116
Priyanshu,874,639,938,359,259,839,599,1024,646,928,0,451,472,663,1024,641
Rb,971,720,984,412,350,896,675,1024,844,938,573,0,598,764,1024,693
Rk2,965,635,929,424,301,865,646,1024,669,901,552,426,0,730,1024,683
Rohan,835,466,752,147,124,631,406,1015,359,789,361,260,294,0,1020,480
Sattvik,3,0,14,0,0,11,1,387,4,29,0,0,0,4,0,0
Supreme_leader,848,518,896,192,157,799,505,1024,507,908,383,331,341,544,1024,0
